Category,Category ID,Dua ID,Dua Title,Has Audio,Link
Praise and Glorification,praise,dua-praise-1,Subhanallahi wa bihamdihi – Infinite Praise,Yes,https://saarahasad.github.io/dua-journey/dua/dua-praise-1
Praise and Glorification,praise,dua-praise-2,Allahu Akbar Kabira – Abundant Praise,Yes,https://saarahasad.github.io/dua-journey/dua/dua-praise-2
Praise and Glorification,praise,dua-praise-3,Allahumma Rabbana Laka al-Hamd – Filling the Heavens,Yes,https://saarahasad.github.io/dua-journey/dua/dua-praise-3
Salawat on the Prophet ﷺ,salawat,dua-salawat-1,🌿 Salawat Ibrahimiyyah – Upon Muhammad and His Family,Yes,https://saarahasad.github.io/dua-journey/dua/dua-salawat-1
Salawat on the Prophet ﷺ,salawat,dua-salawat-2,"🌿 Salawat – Upon Muhammad, His Wives and Offspring",Yes,https://saarahasad.github.io/dua-journey/dua/dua-salawat-2
Knowledge,knowledge,dua-knowledge-1,Allahumma Inni A'udhu Bika – Protection from Useless Knowledge,Yes,https://saarahasad.github.io/dua-journey/dua/dua-knowledge-1
Knowledge,knowledge,dua-knowledge-2,Allahumma Anfa'ni – Grant Me Beneficial Knowledge,Yes,https://saarahasad.github.io/dua-journey/dua/dua-knowledge-2
Knowledge,knowledge,dua-knowledge-3,"Allahumma Inni As'aluka – Beneficial Knowledge, Pure Rizq, Accepted Deeds",Yes,https://saarahasad.github.io/dua-journey/dua/dua-knowledge-3
Firmness in Faith,faith,dua-faith-1,La Ilaha Illa Anta – Dua of Yunus (AS),Yes,https://saarahasad.github.io/dua-journey/dua/dua-faith-1
Firmness in Faith,faith,dua-faith-2,Allahu Allahu Rabbi – Firm Tawhid,Yes,https://saarahasad.github.io/dua-journey/dua/dua-faith-2
Firmness in Faith,faith,dua-faith-3,Allahumma Inni A'udhu Bika – Protection from Kufr and the Grave,Yes,https://saarahasad.github.io/dua-journey/dua/dua-faith-3
Firmness in Faith,faith,dua-faith-4,Rabbana Zalamna – Dua of Adam (AS),Yes,https://saarahasad.github.io/dua-journey/dua/dua-faith-4
Firmness in Faith,faith,dua-faith-5,Rabbana Waj'alna Muslimayn – Dua of Ibrahim (AS),Yes,https://saarahasad.github.io/dua-journey/dua/dua-faith-5
Contentment with Divine Decree,contentment,dua-contentment-1,Radiytu Billahi Rabba – Contentment with Allah,No,https://saarahasad.github.io/dua-journey/dua/dua-contentment-1
Contentment with Divine Decree,contentment,dua-contentment-2,Hasbiyallahu – Trust in Allah,No,https://saarahasad.github.io/dua-journey/dua/dua-contentment-2
Contentment with Divine Decree,contentment,dua-contentment-3,Allahumma Inni A'udhu Bika – Protection from Loss of Blessings,No,https://saarahasad.github.io/dua-journey/dua/dua-contentment-3
Contentment with Divine Decree,contentment,dua-contentment-4,Inna Lillahi – Dua During Calamity,No,https://saarahasad.github.io/dua-journey/dua/dua-contentment-4
Parents,parents,dua-parents-1,Rabbi Irhamhuma – Mercy for Parents,Yes,https://saarahasad.github.io/dua-journey/dua/dua-parents-1
Parents,parents,dua-parents-2,Rabbana Ighfir Li Wa Li Walidayya – Forgiveness for Parents and Believers,Yes,https://saarahasad.github.io/dua-journey/dua/dua-parents-2
Parents,parents,dua-parents-3,"Rabbi Awzi'ni – Gratitude, Righteous Deeds, and Righteous Offspring",Yes,https://saarahasad.github.io/dua-journey/dua/dua-parents-3
Parents,parents,dua-parents-4,Rabbi Ighfir Li Wa Li Walidayya – Forgiveness for Family and Believers,Yes,https://saarahasad.github.io/dua-journey/dua/dua-parents-4
Children,children,dua-children-1,🌿 Protection for Children – From Shaytan,Yes,https://saarahasad.github.io/dua-journey/dua/dua-children-1
Children,children,dua-children-2,🌿 Rabbi Hab Li – Grant Me Righteous Offspring,Yes,https://saarahasad.github.io/dua-journey/dua/dua-children-2
Children,children,dua-children-3,🌿 Protection for Children – With the Perfect Words of Allah,Yes,https://saarahasad.github.io/dua-journey/dua/dua-children-3
Children,children,dua-children-4,🌿 Rabbi Ij‘alni Muqim As-Salah – Make Me and My Children Steadfast in Prayer,Yes,https://saarahasad.github.io/dua-journey/dua/dua-children-4
Children,children,dua-children-5,🌿 Rabbana Hablana – Make Our Families the Comfort of Our Eyes,Yes,https://saarahasad.github.io/dua-journey/dua/dua-children-5
Children,children,dua-children-6,🌿 Allahumma Ighfir Dhanbahu – Dua for a Child’s Purity,Yes,https://saarahasad.github.io/dua-journey/dua/dua-children-6
Spouse,spouse,dua-spouse-1,🌿 Allahumma Allif Bayna Qulubina – Reconcile Our Hearts,Yes,https://saarahasad.github.io/dua-journey/dua/dua-spouse-1
In Salah,in-salah,dua-insalah-1,🌿 Allahumma A'inni 'ala Dhikrika – Help Me Worship You Well,Yes,https://saarahasad.github.io/dua-journey/dua/dua-insalah-1
In Salah,in-salah,dua-insalah-10,🌿 Subhanallahi wa bihamdihi – Glorification & Return,Yes,https://saarahasad.github.io/dua-journey/dua/dua-insalah-10
In Salah,in-salah,dua-insalah-11,🌿 Allahumma Ighfir Li Dhanbi Kullahu – Complete Forgiveness,Yes,https://saarahasad.github.io/dua-journey/dua/dua-insalah-11
